0.000	0	145
93.408	0.1	142
193.151	0.2	139
290.735	0.4	136
386.236	0.5	133
479.727	0.6	130
571.317	0.7	127
661.082	0.8	124
749.073	0.9	122
835.340	1.1	119
919.987	1.2	117
1003.018	1.3	115
1084.536	1.4	113
1164.568	1.5	110
1243.166	1.6	108
1320.389	1.7	107
1396.276	1.9	105
1470.868	2	103
1544.203	2.1	101
1616.326	2.2	99
1687.275	2.3	98
1757.085	2.4	96
1825.786	2.5	95
1893.413	2.6	93
1960.000	2.7	92
2025.579	2.8	90
2090.176	2.9	89
2153.812	3	88
2216.526	3.2	86
2278.333	3.3	85
2339.265	3.4	84
2399.340	3.5	83
2458.586	3.6	81
2517.017	3.7	80
2574.662	3.8	79
2631.538	3.9	78
2687.661	4	77
2743.055	4.1	76
2797.737	4.2	75
2851.723	4.3	74
2905.030	4.4	73
2957.674	4.5	72
3009.671	4.6	72
3061.036	4.7	71
3111.783	4.8	70
3161.926	4.9	69
3211.480	5	68
3260.458	5.1	68
3308.874	5.2	67
3356.738	5.3	66
3404.064	5.4	65
3450.859	5.5	65
3497.141	5.6	64
3542.917	5.7	63
3588.196	5.8	63
3632.993	5.9	62
3677.313	6	61
3721.171	6.1	61
3764.570	6.1	60
3807.525	6.2	59
3850.040	6.3	59
3892.128	6.4	58
3933.794	6.5	58
3975.046	6.6	57
4015.895	6.7	57
4056.347	6.8	56
4096.408	6.9	56
4136.086	7	55
4175.390	7.1	55
4214.325	7.2	54
4252.898	7.3	54
4291.115	7.4	53
4328.983	7.4	53
4366.508	7.5	52
4403.696	7.6	52
4440.553	7.7	51
4477.084	7.8	51
